"Longitude","Latitude","Admin","Year","disease"
119.64759,29.0781199,"2",2019,"dengue"
77.78360267,29.04163992,"2",2010,"dengue"
76.003403,28.998501,"2",2015,"dengue"
77.706242,28.990124,"-999",1997,"dengue"
118.86861,28.95944,"-999",2014,"dengue"
120.014603,28.998501,"1",2015,"dengue"
30.983,28.924999,"2",2015,"dengue"
80.33333,28.91667,"-999",2012,"dengue"
118.87419,28.9359199,"2",2019,"dengue"
76.56,28.9,"-999",1988,"dengue"
77.096157,28.847079,"-999",2005,"dengue"
80.321311,28.837201,"-999",2009,"dengue"
80.89865,28.831355,"-999",2006,"dengue"
-100.3119951,28.74315662,"2",1980,"dengue"
77.123966,28.724614,"-999",2005,"dengue"
77.69617609,28.74459351,"2",2003,"dengue"
80.91667,28.75,"-999",2013,"dengue"
77.128558,28.668976,"-999",2007,"dengue"
77.21188,28.67546,"-999",2012,"dengue"
77.2855,28.6712,"-999",2008,"dengue"
77.299948,28.686974,"-999",2003,"dengue"
77.433327,28.66667,"-999",2010,"dengue"
80.6,28.68333,"-999",2012,"dengue"
115.883331,28.683331,"2",2016,"dengue"
77.108979,28.646519,"1",1967,"dengue"
77.1916,28.6526,"-999",2008,"dengue"
77.231694,28.640468,"-999",1981,"dengue"
77.29798,28.6425,"-999",2012,"dengue"
77.372635,28.643824,"1",2016,"dengue"
121.26295,28.6496499,"2",2016,"dengue"
-111.5227,28.6183,"-999",2005,"dengue"
-109.73967,28.59532,"-999",2014,"dengue"
76.990371,28.60713,"-999",2005,"dengue"
77.088046,28.619412,"-999",2005,"dengue"
77.1305,28.5866,"-999",2008,"dengue"
77.2,28.6,"-999",1996,"dengue"
77.209021,28.613939,"1",2000,"dengue"
77.03888,28.57747,"-999",2012,"dengue"
77.290436,28.560402,"1",2016,"dengue"
77.330002,28.58,"-999",2011,"dengue"
77.27787,28.53446,"1",2016,"dengue"
70.09722,28.49306,"-999",2013,"dengue"
77.033333,28.466667,"-999",2011,"dengue"
84.689749,28.476394,"-999",2006,"dengue"
-97.74116589,28.41738747,"2",1980,"dengue"
69.58333,28.43333,"-999",2013,"dengue"
77.31667,28.43333,"-999",2012,"dengue"
79.41114728,28.45553054,"2",2003,"dengue"
76.9635,28.3825,"-999",1997,"dengue"
121.38599,28.3717999,"2",2017,"dengue"
77.31,28.33,"-999",1997,"dengue"
81.37657,28.31254,"-999",2012,"dengue"
95.15,28.3,"2",2012,"dengue"
68.86758108,28.24273626,"2",2009,"dengue"
81.83333,28.16667,"-999",2013,"dengue"
80.65623828,28.12667877,"2",2003,"dengue"
81.778702,28.146057,"-999",2006,"dengue"
112.9833341,28.1142216,"1",2019,"dengue"
81.619,28.065,"-999",2006,"dengue"
95.33333,28.06667,"-999",2012,"dengue"
69.318939,28.00069,"2",2016,"dengue"
120.654442,28.019167,"2",2015,"dengue"
-113.5,28,"-999",2013,"dengue"
-110.81667,27.96667,"-999",2012,"dengue"
66,28,"-999",2011,"dengue"
79.8342465,27.981722,"2",2003,"dengue"
82.301773,27.99036,"-999",2006,"dengue"
83.036138,27.982927,"-999",2006,"dengue"
84.898477,27.971136,"-999",2006,"dengue"
112.016602,27.9944,"1",2016,"dengue"
116.015602,27.9944,"1",2015,"dengue"
120.69939,27.9949199,"2",2019,"dengue"
-110.898,27.92,"-999",1983,"dengue"
-101.21667,27.95,"-999",2014,"dengue"
-82.72383091,27.9357998,"2",2009,"dengue"
68.63789,27.95706,"-999",2013,"dengue"
84.22788,27.944705,"-999",2006,"dengue"
84.25,27.91667,"-999",2013,"dengue"
84.8568,27.92286,"-999",2013,"dengue"
78.078194,27.913502,"-999",2016,"dengue"
79.91,27.88,"-999",1992,"dengue"
69.64490308,27.81726213,"2",2011,"dengue"
78.64579,27.808821,"2",2019,"dengue"
-99.33203826,27.76036133,"2",1980,"dengue"
-97.409,27.766,"-999",1986,"dengue"
-97.61923563,27.72811188,"2",1986,"dengue"
81.41129566,27.74407868,"2",2003,"dengue"
85.31667,27.71667,"-999",2013,"dengue"
88.5058,27.7418,"1",2013,"dengue"
68.86667,27.7,"-999",2013,"dengue"
81.81612382,27.67968475,"2",2003,"dengue"
83.45,27.7,"-999",2010,"dengue"
83.91666,27.66667,"-999",2013,"dengue"
84.431,27.681,"-999",2007,"dengue"
85.333333,27.7,"-999",2006,"dengue"
78.76158795,27.63462846,"2",2003,"dengue"
83.378939,27.626424,"-999",2006,"dengue"
83.889706,27.649841,"-999",2006,"dengue"
67.83471331,27.60700744,"2",2011,"dengue"
68.00103,27.58676,"-999",2013,"dengue"
91.498001,27.611601,"1",2019,"dengue"
30.80764,27.556021,"2",2015,"dengue"
68.21667,27.55,"-999",2013,"dengue"
84.5,27.58333,"-999",2011,"dengue"
85.023346,27.554636,"-999",2006,"dengue"
-99.510269,27.514361,"-999",1999,"dengue"
-99.493,27.511,"-999",1986,"dengue"
30.80682,27.53723,"2",2015,"dengue"
68.76667,27.533333,"-999",2011,"dengue"
69.16709515,27.5032829,"2",2011,"dengue"
80.84695754,27.52317916,"2",2003,"dengue"
83.05,27.533333,"-999",2006,"dengue"
83.416252,27.505699,"-999",2010,"dengue"
84.354205,27.529131,"-999",2009,"dengue"
-109.940586,27.491218,"-999",2005,"dengue"
-99.55199,27.46474,"-999",2012,"dengue"
-99.51667,27.5,"-999",2010,"dengue"
82.36956424,27.4881199,"2",2003,"dengue"
84.6667,27.5,"-999",2006,"dengue"
85.28,27.47,"-999",2006,"dengue"
89.599998,27.483334,"-999",2008,"dengue"
82.183334,27.433332,"-999",2008,"dengue"
85.028,27.432,"-999",2007,"dengue"
85.223007,27.454359,"1",2017,"dengue"
90.429428,27.415409,"0",2017,"dengue"
-110.26149,27.37337,"2",2013,"dengue"
80.15249206,27.33438761,"2",2003,"dengue"
84.89265343,27.34409935,"2",2004,"dengue"
84.833328,27.33333,"2",2019,"dengue"
80.749496,27.254601,"2",2015,"dengue"
-80.25283,27.19755,"-999",2013,"dengue"
31.185049,27.183781,"1",2015,"dengue"
78.45673913,27.20600996,"2",2003,"dengue"
84.856793,27.173588,"-999",2006,"dengue"
85.064907,27.134111,"-999",2006,"dengue"
85.451599,27.143101,"1",2017,"dengue"
-109.43333,27.1,"-999",2013,"dengue"
-80.416443,27.08366,"-999",2011,"dengue"
82.0125258,27.08773611,"2",2003,"dengue"
-109.63333,27.06667,"-999",2014,"dengue"
-109.4445,27.071,"-999",1992,"dengue"
118.32528,27.04694,"-999",2014,"dengue"
-109.68333,27.01593594,"2",2005,"dengue"
-108.9399,27.0279,"-999",2009,"dengue"
84.877,27.017,"-999",2007,"dengue"
88.2636,27.04,"-999",2013,"dengue"
89.132484,27.029673,"2",2019,"dengue"
-100.215,26.96556,"-999",2014,"dengue"
84.866669,27,"-999",2010,"dengue"
85.56121,26.962714,"-999",2006,"dengue"
89.550003,27,"1",2019,"dengue"
75.816666,26.916668,"-999",2011,"dengue"
81.37166065,26.9167423,"2",2003,"dengue"
-101.41666,26.9,"-999",2013,"dengue"
68.12533246,26.87869197,"2",2011,"dengue"
88.38548522,26.91343878,"2",2005,"dengue"
68.11928,26.841,"-999",2013,"dengue"
80.91,26.85,"-999",1996,"dengue"
80.919724,26.84943,"-999",2010,"dengue"
83.92526583,26.86466225,"2",2003,"dengue"
89.390416,26.858993,"-999",2004,"dengue"
-109.642553,26.826675,"-999",2003,"dengue"
84.5039,26.7999,"-999",2006,"dengue"
87.283546,26.812481,"2",2019,"dengue"
82.60642129,26.78989963,"2",2003,"dengue"
83.37389,26.755,"-999",2012,"dengue"
67.77631,26.73286,"-999",2013,"dengue"
88.42458,26.72025,"-999",2013,"dengue"
85.828278,26.69252,"2",2018,"dengue"
-78.416672,26.633329,"-999",2011,"dengue"
83.35993146,26.62570474,"2",2003,"dengue"
87.182175,26.627552,"2",2018,"dengue"
87.894245,26.63982,"-999",2006,"dengue"
88.1389,26.655,"-999",2013,"dengue"
89.0819641,26.66315428,"2",2005,"dengue"
118.17792,26.6414099,"2",2016,"dengue"
119.522781,26.661671,"2",2016,"dengue"
119.54819,26.6657099,"2",2014,"dengue"
-109.1747,26.6037,"-999",1995,"dengue"
80.54996012,26.61433979,"2",2003,"dengue"
87.91667,26.58333,"-999",2012,"dengue"
88.19149,26.55628,"2",2017,"dengue"
117.842697,26.545,"1",2015,"dengue"
-101.2517,26.53881,"-999",2013,"dengue"
88.7159,26.5247,"-999",2008,"dengue"
77.995338,26.49892,"2",2016,"dengue"
80.349998,26.466667,"-999",2010,"dengue"
87.284,26.48,"-999",2007,"dengue"
79.95379678,26.42802214,"2",2003,"dengue"
82.65982599,26.42372262,"2",2003,"dengue"
83.82737346,26.4254656,"2",2003,"dengue"
-98.1807807,26.39336367,"2",1980,"dengue"
-99.1,26.35,"-999",2014,"dengue"
-98.20029,26.33368,"2",2013,"dengue"
68.33020846,26.36397567,"2",2011,"dengue"
79.86773,26.34745,"2",2013,"dengue"
89.34014159,26.29297115,"2",2005,"dengue"
82.01081438,26.27895729,"2",2003,"dengue"
68.416664,26.25,"-999",2010,"dengue"
74.76425193,26.22807985,"2",1974,"dengue"
78.179169,26.223612,"-999",2008,"dengue"
81.2221601,26.23334293,"2",2003,"dengue"
91.75095,26.18617,"-999",2012,"dengue"
-97.52606368,26.12318318,"2",1980,"dengue"
34.277931,26.104259,"2",2017,"dengue"
68.887901,26.112062,"-999",2008,"dengue"
79.3796838,26.09631766,"2",2003,"dengue"
81.13615,26.11679,"-999",2014,"dengue"
85.400002,26.116667,"-999",2010,"dengue"
-98.283333,26.083332,"-999",2010,"dengue"
-98.2,26.05,"-999",2013,"dengue"
68.948097,26.04656,"1",2016,"dengue"
78.13879231,26.04504558,"2",1991,"dengue"
119.30611,26.06139,"-999",2012,"dengue"
-111.34043,26.00705,"-999",2012,"dengue"
63.11031,26.01792,"2",2019,"dengue"
83.75135,26.029247,"2",2017,"dengue"
-98.1,25.98333,"-999",2012,"dengue"
69.29361,25.97964,"2",2013,"dengue"
74.003899,25.997499,"2",2015,"dengue"
93.010201,25.997499,"2",2016,"dengue"
94.2407,25.997499,"2",2015,"dengue"
97.5,26,"2",2017,"dengue"
-109.17463,25.91977,"-999",2014,"dengue"
-100.96667,25.93333,"-999",2012,"dengue"
69.28473263,25.94890114,"2",2006,"dengue"
76.86633,25.91781,"-999",2014,"dengue"
84.75,25.91667,"2",2013,"dengue"
-97.497,25.907,"-999",1986,"dengue"
68.524712,25.894302,"-999",2012,"dengue"
80.79821486,25.87788101,"2",2003,"dengue"
84.09685801,25.87745517,"2",2003,"dengue"
84.8169768,25.9061985,"2",2006,"dengue"
93.727592,25.906267,"2",2015,"dengue"
-97.506,25.867,"-999",1995,"dengue"
85.78333,25.85,"-999",2012,"dengue"
-111.833397,25.8333,"1",2015,"dengue"
-98.3662,25.8101,"-999",1995,"dengue"
-108.966667,25.766666,"-999",2009,"dengue"
-102.97959,25.75869,"-999",2012,"dengue"
-100.186501,25.781344,"-999",2002,"dengue"
84.73089,25.781,"-999",2012,"dengue"
85.36202552,25.76301903,"2",2006,"dengue"
87.47422,25.77895,"-999",2012,"dengue"
79.87068906,25.73655825,"2",2003,"dengue"
85.75,25.75,"2",2016,"dengue"
-102.21667,25.7,"-999",2014,"dengue"
-100.4,25.66667,"-999",2012,"dengue"
-100.31667,25.66667,"-999",2012,"dengue"
-100.25,25.68333,"-999",2012,"dengue"
-100.2057728,25.67263174,"2",1995,"dengue"
-97.81181,25.6718,"-999",2013,"dengue"
-100.31,25.66,"-999",1986,"dengue"
-100.291554,25.662842,"-999",2006,"dengue"
-103.4717,25.5923,"-999",2008,"dengue"
-80.56767546,25.61037327,"2",2009,"dengue"
-80.533112,25.61705,"-999",2010,"dengue"
85.116997,25.6,"-999",2010,"dengue"
-108.449997,25.566668,"-999",2008,"dengue"
-103.4919,25.5596,"-999",2008,"dengue"
-103.433327,25.549999,"-999",2009,"dengue"
-103.40678,25.54285,"-999",2014,"dengue"
-103.469628,25.524958,"-999",2007,"dengue"
69.011317,25.518373,"-999",2006,"dengue"
-108.0788,25.4611,"-999",1983,"dengue"
-107.916691,25.483184,"-999",2006,"dengue"
-100.97786,25.48605,"-999",2012,"dengue"
118.8880508,25.48433734,"2",2007,"dengue"
-101,25.41667,"-999",2013,"dengue"
68.274307,25.416868,"2",2016,"dengue"
69.43078,25.4437,"-999",2013,"dengue"
81.849998,25.450001,"-999",2010,"dengue"
119.00771,25.4539999,"2",2015,"dengue"
68.367335,25.402123,"-999",2006,"dengue"
68.55048548,25.39528562,"2",2011,"dengue"
69.77812796,25.38368437,"2",2011,"dengue"
97.388012,25.37915,"-999",1973,"dengue"
68.36667,25.36667,"-999",2012,"dengue"
69.730003,25.370001,"2",2015,"dengue"
72.618542,25.344336,"-999",1985,"dengue"
88.59426816,25.36284363,"2",2005,"dengue"
-107.77442,25.32192,"2",2014,"dengue"
-80.936996,25.313,"-999",2010,"dengue"
83,25.333332,"-999",2011,"dengue"
77.25,25.28333,"-999",2014,"dengue"
83.26667,25.26667,"-999",2013,"dengue"
83.92391,25.23437,"-999",2013,"dengue"
85.58333,25.25,"2",2013,"dengue"
86.97183,25.24446,"-999",2012,"dengue"
88.777321,25.220989,"2",2016,"dengue"
-103.2493686,25.1740857,"2",2007,"dengue"
67.30202917,25.13005122,"2",2009,"dengue"
76.12541626,25.12863725,"2",2006,"dengue"
85.862317,25.141419,"-999",2010,"dengue"
88.08550138,25.1370515,"2",2005,"dengue"
121.741898,25.12825,"2",2015,"dengue"
68.535767,25.123011,"2",2016,"dengue"
121.5183,25.0837,"-999",2008,"dengue"
121.566539,25.093372,"-999",1996,"dengue"
-77.336479,25.074366,"-999",2011,"dengue"
89.1,25.083,"2",2014,"dengue"
102.7097299,25.0452999,"1",2019,"dengue"
117.01792,25.07517,"-999",2013,"dengue"
121.36905,25.060877,"-999",2009,"dengue"
121.5,25.06667,"-999",2013,"dengue"
-107.490303,25.005899,"1",2018,"dengue"
-77.400002,25.033333,"-999",2012,"dengue"
78.05,25.03333,"-999",2013,"dengue"
88.141719,25.000664,"-999",2005,"dengue"
90.010586,25.015929,"-999",2002,"dengue"
93.999001,25.005899,"2",2015,"dengue"
101.997002,25.005899,"1",2015,"dengue"
121.525002,25.039167,"-999",2008,"dengue"
121.565418,25.032969,"-999",2008,"dengue"
-106,25,"-999",1995,"dengue"
66.9808,24.9593,"-999",2006,"dengue"
89.85251976,24.97116809,"2",2003,"dengue"
118.49833,24.98778,"-999",2014,"dengue"
67.03479,24.92744,"-999",2013,"dengue"
67.05205022,24.9444192,"2",1994,"dengue"
67.2066,24.9424,"-999",2013,"dengue"
121.21685,24.937588,"-999",2009,"dengue"
121.581749,24.94702,"-999",2010,"dengue"
67.076,24.897,"-999",2006,"dengue"
67.0882,24.9098,"-999",2006,"dengue"
67.175102,24.893499,"2",2016,"dengue"
68.47725,24.91066,"-999",2013,"dengue"
70.240829,24.877678,"2",2016,"dengue"
112.8405,24.8764,"1",2015,"dengue"
121.669235,24.91384,"-999",1995,"dengue"
-99.52452214,24.85201257,"2",1999,"dengue"
-98.15,24.85,"-999",2012,"dengue"
39.320625,24.840399,"1",2018,"dengue"
66.9958,24.8694,"-999",2006,"dengue"
67.0363,24.8602,"-999",2013,"dengue"
67.050003,24.866667,"-999",2008,"dengue"
67.11573352,24.86855025,"2",1994,"dengue"
67.2014,24.8448,"-999",2013,"dengue"
67.6,24.84,"-999",1995,"dengue"
118.67583,24.8740499,"2",2016,"dengue"
121.017723,24.838722,"2",2015,"dengue"
-107.701735,24.796202,"-999",2006,"dengue"
-107.38972,24.79944,"-999",2014,"dengue"
-104.699997,24.799999,"2",2015,"dengue"
67.03391,24.8153,"-999",2013,"dengue"
93.934296,24.820042,"2",2016,"dengue"
113.58334,24.8,"-999",2014,"dengue"
88.285675,24.759302,"-999",2002,"dengue"
121.753,24.757,"-999",2014,"dengue"
67.92416,24.74694,"-999",2013,"dengue"
90.4,24.75,"-999",2000,"dengue"
-106.71667,24.66667,"-999",2012,"dengue"
-101.550003,24.633333,"-999",2009,"dengue"
68.83334,24.65,"-999",2013,"dengue"
-81.783,24.554,"2",2004,"dengue"
77.731964,24.577554,"-999",2009,"dengue"
80.832384,24.583144,"-999",2009,"dengue"
